Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2024-12-12,247.9600067138672,248.74000549316406,245.67999267578125,246.88999938964844,32777500
2024-12-13,248.1300048828125,249.2899932861328,246.24000549316406,247.82000732421875,33155300
2024-12-16,251.0399932861328,251.3800048828125,247.64999389648438,247.99000549316406,51694800
2024-12-17,253.47999572753906,253.8300018310547,249.77999877929688,250.0800018310547,51356400
2024-12-18,248.0500030517578,254.27999877929688,247.74000549316406,252.16000366210938,56774100
2024-12-19,249.7899932861328,252.0,247.08999633789062,247.5,60882300
2024-12-20,254.49000549316406,255.0,245.69000244140625,248.0399932861328,147495300
2024-12-23,255.27000427246094,255.64999389648438,253.4499969482422,254.77000427246094,40858800
2024-12-24,258.20001220703125,258.2099914550781,255.2899932861328,255.49000549316406,23234700
2024-12-26,259.0199890136719,260.1000061035156,257.6300048828125,258.19000244140625,27237100
2024-12-27,255.58999633789062,258.70001220703125,253.05999755859375,257.8299865722656,42355300
2024-12-30,252.1999969482422,253.5,250.75,252.22999572753906,35557500
2024-12-31,250.4199981689453,253.27999877929688,249.42999267578125,252.44000244140625,39480700
2025-01-02,243.85000610351562,249.10000610351562,241.82000732421875,248.92999267578125,55740700
2025-01-03,243.36000061035156,244.17999267578125,241.88999938964844,243.36000061035156,40244100
2025-01-06,245.0,247.3300018310547,243.1999969482422,244.30999755859375,45045600
2025-01-07,242.2100067138672,245.5500030517578,241.35000610351562,242.97999572753906,40856000
2025-01-08,242.6999969482422,243.7100067138672,240.0500030517578,241.9199981689453,37628900
2025-01-10,236.85000610351562,240.16000366210938,233.0,240.00999450683594,61679400
